question,option_a,option_b,option_c,option_d,correct_option,explanation,category
What is the capital of France?,Paris,London,Berlin,Madrid,A,Paris is the capital of France.,Geography
What is the capital of Germany?,Berlin,Paris,Madrid,Rome,A,Berlin is the capital of Germany.,Geography
What is the capital of Italy?,Rome,Berlin,Paris,Madrid,A,Rome is the capital of Italy.,Geography
What is the capital of Spain?,Madrid,Rome,Berlin,Paris,A,Madrid is the capital of Spain.,Geography
What is the capital of Japan?,Tokyo,Kyoto,Osaka,Nagoya,A,Tokyo is the capital of Japan.,Geography
What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,A,Ottawa is the capital of Canada.,Geography
What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,A,Canberra is the capital of Australia.,Geography
What is the capital of Brazil?,Brasilia,Rio de Janeiro,Sao Paulo,Salvador,A,Brasilia is the capital of Brazil.,Geography
What is the capital of Egypt?,Cairo,Alexandria,Giza,Luxor,A,Cairo is the capital of Egypt.,Geography
What is the capital of India?,New Delhi,Mumbai,Kolkata,Chennai,A,New Delhi is the capital of India.,Geography
What is 2+2?,3,4,5,6,B,2+2 equals 4.,Science
What is the chemical symbol for Water?,H2O,CO2,O2,NaCl,A,H2O is water.,Science
What is the center of an atom called?,Nucleus,Electron,Proton,Neutron,A,The nucleus is the center.,Science
What is the speed of light?,299792458 m/s,150000 m/s,300000000 m/s,1000000 m/s,A,The speed of light is approx 299792458 m/s.,Science
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,A,Mars is the red planet.,Science
What is the hardest natural substance?,Diamond,Gold,Iron,Quartz,A,Diamond is the hardest.,Science
What is the boiling point of water?,100C,0C,50C,150C,A,Water boils at 100C.,Science
What is the most abundant gas in Earth atmosphere?,Nitrogen,Oxygen,Argon,Carbon Dioxide,A,Nitrogen is most abundant.,Science
What is the chemical symbol for Gold?,Au,Ag,Fe,Pb,A,Au is gold.,Science
Who developed the theory of relativity?,Einstein,Newton,Galileo,Hawking,A,Einstein developed relativity.,Science
What is the capital of Fiji?,Suva,Nadi,Lautoka,Labasa,A,Suva is the capital.,Geography
What is 1+1?,1,2,3,4,B,1+1=2.,Math
